"Date","Strain","UV_dose","Survival","Revertant","sibling","allele","genotype"
"220826","KNT-Op47-01",60,794,2,"Op47","B36","wild-type"
"220826","KNT-Op47-01",90,877,1,"Op47","B36","wild-type"
"220826","KNT-Op47-01",90,895,0,"Op47","B36","wild-type"
"220826","KNT-Op47-01",90,783,0,"Op47","B36","wild-type"
"220826","KNT-Op47-01",120,719,0,"Op47","B36","wild-type"
"220826","KNT-Op47-01",120,686,0,"Op47","B36","wild-type"
"220826","KNT-Op47-01",120,799,0,"Op47","B36","wild-type"
"220826","KNT-Op47-23",0,876,0,"Op47","B36","hH3-K4R"
"220826","KNT-Op47-23",0,874,0,"Op47","B36","hH3-K4R"
"220826","KNT-Op47-23",0,859,0,"Op47","B36","hH3-K4R"
"220826","KNT-Op47-23",60,877,2,"Op47","B36","hH3-K4R"
"220826","KNT-Op47-23",60,875,3,"Op47","B36","hH3-K4R"
"220826","KNT-Op47-23",60,867,4,"Op47","B36","hH3-K4R"
"220826","KNT-Op47-23",90,671,0,"Op47","B36","hH3-K4R"
"220826","KNT-Op47-23",90,743,3,"Op47","B36","hH3-K4R"
"220826","KNT-Op47-23",90,725,4,"Op47","B36","hH3-K4R"
"220826","KNT-Op47-23",120,759,5,"Op47","B36","hH3-K4R"
"220826","KNT-Op47-23",120,774,1,"Op47","B36","hH3-K4R"
"220826","KNT-Op47-23",120,738,1,"Op47","B36","hH3-K4R"
"220826","KNT-Op51-17",0,814,0,"Op51","B36","wild-type"
"220826","KNT-Op51-17",0,915,0,"Op51","B36","wild-type"
"220826","KNT-Op51-17",0,905,0,"Op51","B36","wild-type"
"220826","KNT-Op51-17",60,832,0,"Op51","B36","wild-type"
"220826","KNT-Op51-17",60,898,2,"Op51","B36","wild-type"
"220826","KNT-Op51-17",60,848,2,"Op51","B36","wild-type"
"220826","KNT-Op51-17",90,861,1,"Op51","B36","wild-type"
"220826","KNT-Op51-17",90,893,5,"Op51","B36","wild-type"
"220826","KNT-Op51-17",90,633,0,"Op51","B36","wild-type"
"220826","KNT-Op51-17",120,797,6,"Op51","B36","wild-type"
"220826","KNT-Op51-17",120,763,5,"Op51","B36","wild-type"
"220826","KNT-Op51-17",120,782,3,"Op51","B36","wild-type"
"220826","KNT-Op51-32",0,709,0,"Op51","B36","set-1 KO"
"220826","KNT-Op51-32",0,779,0,"Op51","B36","set-1 KO"
"220826","KNT-Op51-32",0,689,0,"Op51","B36","set-1 KO"
"220826","KNT-Op51-32",60,430,3,"Op51","B36","set-1 KO"
"220826","KNT-Op51-32",60,585,4,"Op51","B36","set-1 KO"
"220826","KNT-Op51-32",60,577,9,"Op51","B36","set-1 KO"
"220826","KNT-Op51-32",90,650,7,"Op51","B36","set-1 KO"
"220826","KNT-Op51-32",90,577,3,"Op51","B36","set-1 KO"
"220826","KNT-Op51-32",90,618,11,"Op51","B36","set-1 KO"
"220826","KNT-Op51-32",120,486,9,"Op51","B36","set-1 KO"
"220826","KNT-Op51-32",120,520,4,"Op51","B36","set-1 KO"
"220826","KNT-Op51-32",120,458,3,"Op51","B36","set-1 KO"
"220902","KNT-Op46-13",0,684,1,"Op46","OGW1","hH3-K4R"
"220902","KNT-Op46-13",0,726,0,"Op46","OGW1","hH3-K4R"
"220902","KNT-Op46-13",0,726,1,"Op46","OGW1","hH3-K4R"
"220902","KNT-Op46-13",60,563,13,"Op46","OGW1","hH3-K4R"
"220902","KNT-Op46-13",60,686,27,"Op46","OGW1","hH3-K4R"
"220902","KNT-Op46-13",60,567,15,"Op46","OGW1","hH3-K4R"
"220902","KNT-Op46-13",90,535,23,"Op46","OGW1","hH3-K4R"
"220902","KNT-Op46-13",90,580,18,"Op46","OGW1","hH3-K4R"
"220902","KNT-Op46-13",90,558,31,"Op46","OGW1","hH3-K4R"
"220902","KNT-Op46-13",120,477,20,"Op46","OGW1","hH3-K4R"
"220902","KNT-Op46-13",120,483,24,"Op46","OGW1","hH3-K4R"
"220902","KNT-Op46-13",120,437,30,"Op46","OGW1","hH3-K4R"
"220902a","KNT-Op46-13",0,565,0,"Op46","OGW1","hH3-K4R"
"220902a","KNT-Op46-13",0,680,0,"Op46","OGW1","hH3-K4R"
"220902a","KNT-Op46-13",0,634,2,"Op46","OGW1","hH3-K4R"
"220902a","KNT-Op46-13",60,529,26,"Op46","OGW1","hH3-K4R"
"220902a","KNT-Op46-13",60,704,18,"Op46","OGW1","hH3-K4R"
"220902a","KNT-Op46-13",60,565,17,"Op46","OGW1","hH3-K4R"
"220902a","KNT-Op46-13",90,498,21,"Op46","OGW1","hH3-K4R"
"220902a","KNT-Op46-13",90,545,24,"Op46","OGW1","hH3-K4R"
"220902a","KNT-Op46-13",90,516,23,"Op46","OGW1","hH3-K4R"
"220902a","KNT-Op46-13",120,443,24,"Op46","OGW1","hH3-K4R"
"220902a","KNT-Op46-13",120,520,18,"Op46","OGW1","hH3-K4R"
"220902a","KNT-Op46-13",120,425,22,"Op46","OGW1","hH3-K4R"
"220902","KNT-Op55-25",0,624,6,"Op55","OGW1","set-1 KO"
"220902","KNT-Op55-25",0,660,1,"Op55","OGW1","set-1 KO"
"220902","KNT-Op55-25",0,581,2,"Op55","OGW1","set-1 KO"
"220902","KNT-Op55-25",60,565,12,"Op55","OGW1","set-1 KO"
"220902","KNT-Op55-25",60,553,16,"Op55","OGW1","set-1 KO"
"220902","KNT-Op55-25",60,582,17,"Op55","OGW1","set-1 KO"
"220902","KNT-Op55-25",90,506,23,"Op55","OGW1","set-1 KO"
"220902","KNT-Op55-25",90,537,29,"Op55","OGW1","set-1 KO"
"220902","KNT-Op55-25",90,554,19,"Op55","OGW1","set-1 KO"
"220902","KNT-Op55-25",120,576,16,"Op55","OGW1","set-1 KO"
"220902","KNT-Op55-25",120,571,21,"Op55","OGW1","set-1 KO"
"220902","KNT-Op55-25",120,496,18,"Op55","OGW1","set-1 KO"
"220902a","KNT-Op55-25",0,481,2,"Op55","OGW1","set-1 KO"
"220902a","KNT-Op55-25",0,502,2,"Op55","OGW1","set-1 KO"
"220902a","KNT-Op55-25",0,500,0,"Op55","OGW1","set-1 KO"
"220902a","KNT-Op55-25",60,455,17,"Op55","OGW1","set-1 KO"
"220902a","KNT-Op55-25",60,502,15,"Op55","OGW1","set-1 KO"
"220902a","KNT-Op55-25",60,491,11,"Op55","OGW1","set-1 KO"
"220902a","KNT-Op55-25",90,395,20,"Op55","OGW1","set-1 KO"
"220902a","KNT-Op55-25",90,438,21,"Op55","OGW1","set-1 KO"
"220902a","KNT-Op55-25",90,412,24,"Op55","OGW1","set-1 KO"
"220902a","KNT-Op55-25",120,387,15,"Op55","OGW1","set-1 KO"
"220902a","KNT-Op55-25",120,401,17,"Op55","OGW1","set-1 KO"
"220902a","KNT-Op55-25",120,402,13,"Op55","OGW1","set-1 KO"
"220902b","KNT-Op55-25",0,656,1,"Op55","OGW1","set-1 KO"
"220902b","KNT-Op55-25",0,752,3,"Op55","OGW1","set-1 KO"
"220902b","KNT-Op55-25",0,644,4,"Op55","OGW1","set-1 KO"
"220902b","KNT-Op55-25",60,569,16,"Op55","OGW1","set-1 KO"
"220902b","KNT-Op55-25",60,688,19,"Op55","OGW1","set-1 KO"
"220902b","KNT-Op55-25",60,482,13,"Op55","OGW1","set-1 KO"
"220902b","KNT-Op55-25",90,554,11,"Op55","OGW1","set-1 KO"
"220902b","KNT-Op55-25",90,530,7,"Op55","OGW1","set-1 KO"
"220902b","KNT-Op55-25",90,380,17,"Op55","OGW1","set-1 KO"
"220902b","KNT-Op55-25",120,495,24,"Op55","OGW1","set-1 KO"
"220902b","KNT-Op55-25",120,530,16,"Op55","OGW1","set-1 KO"
"220902b","KNT-Op55-25",120,526,12,"Op55","OGW1","set-1 KO"
"221017","KNT-Op46-04",0,653,0,"Op46","OGW1","wild-type"
"221017","KNT-Op46-04",0,692,0,"Op46","OGW1","wild-type"
"221017","KNT-Op46-04",0,645,0,"Op46","OGW1","wild-type"
"221017","KNT-Op46-04",60,554,2,"Op46","OGW1","wild-type"
"221017","KNT-Op46-04",60,673,8,"Op46","OGW1","wild-type"
"221017","KNT-Op46-04",60,621,7,"Op46","OGW1","wild-type"
"221017","KNT-Op46-04",90,655,9,"Op46","OGW1","wild-type"
"221017","KNT-Op46-04",90,690,6,"Op46","OGW1","wild-type"
"221017","KNT-Op46-04",90,634,5,"Op46","OGW1","wild-type"
"221017","KNT-Op46-04",120,660,11,"Op46","OGW1","wild-type"
"221017","KNT-Op46-04",120,605,10,"Op46","OGW1","wild-type"
"221017","KNT-Op46-04",120,546,11,"Op46","OGW1","wild-type"
"221017","KNT-Op46-13",0,663,4,"Op46","OGW1","hH3-K4R"
"221017","KNT-Op46-13",0,605,1,"Op46","OGW1","hH3-K4R"
"221017","KNT-Op46-13",0,612,0,"Op46","OGW1","hH3-K4R"
"221017","KNT-Op46-13",60,596,17,"Op46","OGW1","hH3-K4R"
"221017","KNT-Op46-13",60,698,22,"Op46","OGW1","hH3-K4R"
"221017","KNT-Op46-13",60,626,16,"Op46","OGW1","hH3-K4R"
"221017","KNT-Op46-13",90,619,22,"Op46","OGW1","hH3-K4R"
"221017","KNT-Op46-13",90,657,26,"Op46","OGW1","hH3-K4R"
"221017","KNT-Op46-13",90,597,33,"Op46","OGW1","hH3-K4R"
"221017","KNT-Op46-13",120,554,24,"Op46","OGW1","hH3-K4R"
"221017","KNT-Op46-13",120,558,23,"Op46","OGW1","hH3-K4R"
"221017","KNT-Op46-13",120,485,43,"Op46","OGW1","hH3-K4R"
"221017","KNT-Op55-01",0,680,2,"Op55","OGW1","wild-type"
"221017","KNT-Op55-01",0,567,0,"Op55","OGW1","wild-type"
"221017","KNT-Op55-01",0,645,0,"Op55","OGW1","wild-type"
"221017","KNT-Op55-01",60,580,4,"Op55","OGW1","wild-type"
"221017","KNT-Op55-01",60,624,3,"Op55","OGW1","wild-type"
"221017","KNT-Op55-01",60,585,3,"Op55","OGW1","wild-type"
"221017","KNT-Op55-01",90,596,6,"Op55","OGW1","wild-type"
"221017","KNT-Op55-01",90,619,9,"Op55","OGW1","wild-type"
"221017","KNT-Op55-01",90,601,5,"Op55","OGW1","wild-type"
"221017","KNT-Op55-01",120,499,4,"Op55","OGW1","wild-type"
"221017","KNT-Op55-01",120,584,17,"Op55","OGW1","wild-type"
"221017","KNT-Op55-01",120,548,13,"Op55","OGW1","wild-type"
"221017","KNT-Op55-25",0,520,0,"Op55","OGW1","set-1 KO"
"221017","KNT-Op55-25",0,538,0,"Op55","OGW1","set-1 KO"
"221017","KNT-Op55-25",0,484,1,"Op55","OGW1","set-1 KO"
"221017","KNT-Op55-25",60,450,12,"Op55","OGW1","set-1 KO"
"221017","KNT-Op55-25",60,500,14,"Op55","OGW1","set-1 KO"
"221017","KNT-Op55-25",60,437,9,"Op55","OGW1","set-1 KO"
"221017","KNT-Op55-25",90,493,18,"Op55","OGW1","set-1 KO"
"221017","KNT-Op55-25",90,470,16,"Op55","OGW1","set-1 KO"
"221017","KNT-Op55-25",90,418,17,"Op55","OGW1","set-1 KO"
"221017","KNT-Op55-25",120,365,24,"Op55","OGW1","set-1 KO"
"221017","KNT-Op55-25",120,420,32,"Op55","OGW1","set-1 KO"
"221017","KNT-Op55-25",120,379,17,"Op55","OGW1","set-1 KO"
"221104","KNT-Op55-25",0,562,0,"Op55","OGW1","set-1 KO"
"221104","KNT-Op55-25",0,710,1,"Op55","OGW1","set-1 KO"
"221104","KNT-Op55-25",0,635,0,"Op55","OGW1","set-1 KO"
"221104","KNT-Op55-25",60,498,26,"Op55","OGW1","set-1 KO"
"221104","KNT-Op55-25",60,569,26,"Op55","OGW1","set-1 KO"
"221104","KNT-Op55-25",60,461,21,"Op55","OGW1","set-1 KO"
"221104","KNT-Op55-25",90,534,21,"Op55","OGW1","set-1 KO"
"221104","KNT-Op55-25",90,623,29,"Op55","OGW1","set-1 KO"
"221104","KNT-Op55-25",90,510,34,"Op55","OGW1","set-1 KO"
"221104","KNT-Op55-25",120,446,26,"Op55","OGW1","set-1 KO"
"221104","KNT-Op55-25",120,563,36,"Op55","OGW1","set-1 KO"
"221104","KNT-Op55-25",120,474,36,"Op55","OGW1","set-1 KO"
"221104","KNT-Op47-23",0,608,0,"Op47","B36","hH3-K4R"
"221104","KNT-Op47-23",0,591,0,"Op47","B36","hH3-K4R"
"221104","KNT-Op47-23",0,578,0,"Op47","B36","hH3-K4R"
"221104","KNT-Op47-23",60,603,1,"Op47","B36","hH3-K4R"
"221104","KNT-Op47-23",60,637,2,"Op47","B36","hH3-K4R"
"221104","KNT-Op47-23",60,642,0,"Op47","B36","hH3-K4R"
"221104","KNT-Op47-23",90,401,2,"Op47","B36","hH3-K4R"
"221104","KNT-Op47-23",90,519,2,"Op47","B36","hH3-K4R"
"221104","KNT-Op47-23",90,518,3,"Op47","B36","hH3-K4R"
"221104","KNT-Op47-23",120,492,5,"Op47","B36","hH3-K4R"
"221104","KNT-Op47-23",120,549,1,"Op47","B36","hH3-K4R"
"221104","KNT-Op47-23",120,437,1,"Op47","B36","hH3-K4R"
"221104","KNT-Op51-32",0,623,0,"Op51","B36","set-1 KO"
"221104","KNT-Op51-32",0,612,0,"Op51","B36","set-1 KO"
"221104","KNT-Op51-32",0,639,0,"Op51","B36","set-1 KO"
"221104","KNT-Op51-32",60,564,1,"Op51","B36","set-1 KO"
"221104","KNT-Op51-32",60,584,0,"Op51","B36","set-1 KO"
"221104","KNT-Op51-32",60,580,1,"Op51","B36","set-1 KO"
"221104","KNT-Op51-32",90,501,2,"Op51","B36","set-1 KO"
"221104","KNT-Op51-32",90,521,2,"Op51","B36","set-1 KO"
"221104","KNT-Op51-32",90,535,2,"Op51","B36","set-1 KO"
"221104","KNT-Op51-32",120,440,6,"Op51","B36","set-1 KO"
"221104","KNT-Op51-32",120,437,0,"Op51","B36","set-1 KO"
"221104","KNT-Op51-32",120,480,4,"Op51","B36","set-1 KO"
