"Date","Strain","sibling","allele","genotype","UV_dose","Suv_samples","Suv_ave","Suv_se","Rev_samples","Rev_ave","Rev_se","Rev_freq_raw","Rev_freq_se"
"220826","KNT-Op51-32","Op51","B36","set-1 KO",120,3,488,17.925772879665,3,5.33333333333333,1.85592145427667,10.9289617486339,3.82424772901626
"220902","KNT-Op46-13","Op46","OGW1","hH3-K4R",0,3,712,14,3,0.666666666666667,0.333333333333333,0.936329588014981,0.468526667704404
"220902","KNT-Op46-13","Op46","OGW1","hH3-K4R",60,3,605.333333333333,40.3498588734968,3,18.3333333333333,4.371625682868,30.2863436123348,7.49871115329574
"220902","KNT-Op46-13","Op46","OGW1","hH3-K4R",90,3,557.666666666667,12.9914501799367,3,24,3.78593889720018,43.0364614465033,6.86252332914426
"220902","KNT-Op46-13","Op46","OGW1","hH3-K4R",120,3,465.666666666667,14.4376052184718,3,24.6666666666667,2.90593262902712,52.9706513958483,6.45286069168919
"220902","KNT-Op55-25","Op55","OGW1","set-1 KO",0,3,621.666666666667,22.8351580779386,3,3,1.52752523165195,4.82573726541555,2.46353065308658
"220902","KNT-Op55-25","Op55","OGW1","set-1 KO",60,3,566.666666666667,8.41295297608264,3,15,1.52752523165195,26.4705882352941,2.72412906817692
"220902","KNT-Op55-25","Op55","OGW1","set-1 KO",90,3,532.333333333333,14.051492605572,3,23.6666666666667,2.90593262902712,44.4583594239198,5.58357432227616
"220902","KNT-Op55-25","Op55","OGW1","set-1 KO",120,3,547.666666666667,25.8736244937667,3,18.3333333333333,1.45296631451356,33.4753499695679,3.08862102865784
"220902a","KNT-Op46-13","Op46","OGW1","hH3-K4R",0,3,626.333333333333,33.4182252338118,3,0.666666666666667,0.666666666666667,1.06439595529537,1.06590993542629
"220902a","KNT-Op46-13","Op46","OGW1","hH3-K4R",60,3,599.333333333333,53.3552038490884,3,20.3333333333333,2.84800124843918,33.9265850945495,5.63055609109918
"220902a","KNT-Op46-13","Op46","OGW1","hH3-K4R",90,3,519.666666666667,13.6910351852752,3,22.6666666666667,0.881917103688197,43.6177036561899,2.04954113826569
"220902a","KNT-Op46-13","Op46","OGW1","hH3-K4R",120,3,462.666666666667,29.1337909956425,3,21.3333333333333,1.76383420737639,46.1095100864553,4.79207796219066
"220902a","KNT-Op55-25","Op55","OGW1","set-1 KO",0,3,494.333333333333,6.69161996662824,3,1.33333333333333,0.666666666666667,2.69723533378287,1.34911182056204
"220902a","KNT-Op55-25","Op55","OGW1","set-1 KO",60,3,482.666666666667,14.1931125706958,3,14.3333333333333,1.76383420737639,29.6961325966851,3.75723693928873
"220902a","KNT-Op55-25","Op55","OGW1","set-1 KO",90,3,415,12.5033328890074,3,21.6666666666667,1.20185042515466,52.2088353413655,3.29563506924457
"220902a","KNT-Op55-25","Op55","OGW1","set-1 KO",120,3,396.666666666667,4.84194634877798,3,15,1.15470053837925,37.8151260504202,2.94737960181285
"220902b","KNT-Op55-25","Op55","OGW1","set-1 KO",0,3,684,34.1760149812701,3,2.66666666666667,0.881917103688197,3.89863547758285,1.30398426479197
"220902b","KNT-Op55-25","Op55","OGW1","set-1 KO",60,3,579.666666666667,59.7057600050261,3,16,1.73205080756888,27.6020701552616,4.1244349499864
"220902b","KNT-Op55-25","Op55","OGW1","set-1 KO",90,3,488,54.4426303552648,3,11.6666666666667,2.90593262902712,23.9071038251366,6.52480302623924
"220902b","KNT-Op55-25","Op55","OGW1","set-1 KO",120,3,517,11.060440015358,3,17.3333333333333,3.52766841475279,33.5267569310122,6.86093770721435
"221017","KNT-Op46-04","Op46","OGW1","wild-type",0,3,663.333333333333,14.5181878269217,3,0,0,0,NA
"221017","KNT-Op46-04","Op46","OGW1","wild-type",60,3,616,34.4431899413125,3,5.66666666666667,1.85592145427667,9.1991341991342,3.05645080914143
"221017","KNT-Op46-04","Op46","OGW1","wild-type",90,3,659.666666666667,16.3333333333333,3,6.66666666666667,1.20185042515466,10.1061141990905,1.83900892600548
"221017","KNT-Op46-04","Op46","OGW1","wild-type",120,3,603.666666666667,32.9157172858871,3,10.6666666666667,0.333333333333333,17.6697956929873,1.11048463055015
"221017","KNT-Op46-13","Op46","OGW1","hH3-K4R",0,3,626.666666666667,18.2787064944736,3,1.66666666666667,1.20185042515466,2.65957446808511,1.91941469258519
"221017","KNT-Op46-13","Op46","OGW1","hH3-K4R",60,3,640,30.2654919008431,3,18.3333333333333,1.85592145427667,28.6458333333333,3.20068473178983
"221017","KNT-Op46-13","Op46","OGW1","hH3-K4R",90,3,624.333333333333,17.5245859041266,3,27,3.21455025366432,43.2461292044848,5.28993201243692
"221017","KNT-Op46-13","Op46","OGW1","hH3-K4R",120,3,532.333333333333,23.6948189367305,3,30,6.50640709864771,56.3556668753914,12.4771863767484
"221017","KNT-Op55-01","Op55","OGW1","wild-type",0,3,630.666666666667,33.3982700816142,3,0.666666666666667,0.666666666666667,1.05708245243129,1.05856368375703
