Date,Strain,UV_dose,Survival,Revertant
220902b,KNT-Op55-25,60,688,19
220902b,KNT-Op55-25,60,482,13
220902b,KNT-Op55-25,90,554,11
220902b,KNT-Op55-25,90,530,7
220902b,KNT-Op55-25,90,380,17
220902b,KNT-Op55-25,120,495,24
220902b,KNT-Op55-25,120,530,16
220902b,KNT-Op55-25,120,526,12
221017,KNT-Op46-04,0,653,0
221017,KNT-Op46-04,0,692,0
221017,KNT-Op46-04,0,645,0
221017,KNT-Op46-04,60,554,2
221017,KNT-Op46-04,60,673,8
221017,KNT-Op46-04,60,621,7
221017,KNT-Op46-04,90,655,9
221017,KNT-Op46-04,90,690,6
221017,KNT-Op46-04,90,634,5
221017,KNT-Op46-04,120,660,11
221017,KNT-Op46-04,120,605,10
221017,KNT-Op46-04,120,546,11
221017,KNT-Op46-13,0,663,4
221017,KNT-Op46-13,0,605,1
221017,KNT-Op46-13,0,612,0
221017,KNT-Op46-13,60,596,17
221017,KNT-Op46-13,60,698,22
221017,KNT-Op46-13,60,626,16
221017,KNT-Op46-13,90,619,22
221017,KNT-Op46-13,90,657,26
221017,KNT-Op46-13,90,597,33
221017,KNT-Op46-13,120,554,24
221017,KNT-Op46-13,120,558,23
221017,KNT-Op46-13,120,485,43
221017,KNT-Op55-01,0,680,2
221017,KNT-Op55-01,0,567,0
221017,KNT-Op55-01,0,645,0
221017,KNT-Op55-01,60,580,4
221017,KNT-Op55-01,60,624,3
221017,KNT-Op55-01,60,585,3
221017,KNT-Op55-01,90,596,6
221017,KNT-Op55-01,90,619,9
221017,KNT-Op55-01,90,601,5
221017,KNT-Op55-01,120,499,4
221017,KNT-Op55-01,120,584,17
221017,KNT-Op55-01,120,548,13
221017,KNT-Op55-25,0,520,0
221017,KNT-Op55-25,0,538,0
221017,KNT-Op55-25,0,484,1
221017,KNT-Op55-25,60,450,12
221017,KNT-Op55-25,60,500,14
221017,KNT-Op55-25,60,437,9
221017,KNT-Op55-25,90,493,18
221017,KNT-Op55-25,90,470,16
221017,KNT-Op55-25,90,418,17
221017,KNT-Op55-25,120,365,24
221017,KNT-Op55-25,120,420,32
221017,KNT-Op55-25,120,379,17
221104,KNT-Op55-25,0,562,0
221104,KNT-Op55-25,0,710,1
221104,KNT-Op55-25,0,635,0
221104,KNT-Op55-25,60,498,26
221104,KNT-Op55-25,60,569,26
221104,KNT-Op55-25,60,461,21
221104,KNT-Op55-25,90,534,21
221104,KNT-Op55-25,90,623,29
221104,KNT-Op55-25,90,510,34
221104,KNT-Op55-25,120,446,26
221104,KNT-Op55-25,120,563,36
221104,KNT-Op55-25,120,474,36
221104,KNT-Op47-23,0,608,0
221104,KNT-Op47-23,0,591,0
221104,KNT-Op47-23,0,578,0
221104,KNT-Op47-23,60,603,1
221104,KNT-Op47-23,60,637,2
221104,KNT-Op47-23,60,642,0
221104,KNT-Op47-23,90,401,2
221104,KNT-Op47-23,90,519,2
221104,KNT-Op47-23,90,518,3
221104,KNT-Op47-23,120,492,5
221104,KNT-Op47-23,120,549,1
221104,KNT-Op47-23,120,437,1
221104,KNT-Op51-32,0,623,0
221104,KNT-Op51-32,0,612,0
221104,KNT-Op51-32,0,639,0
221104,KNT-Op51-32,60,564,1
221104,KNT-Op51-32,60,584,0
221104,KNT-Op51-32,60,580,1
221104,KNT-Op51-32,90,501,2
221104,KNT-Op51-32,90,521,2
221104,KNT-Op51-32,90,535,2
221104,KNT-Op51-32,120,440,6
221104,KNT-Op51-32,120,437,0
221104,KNT-Op51-32,120,480,4
